rid,fid,lid_1,graph_1,ori_graph_1,lid_2,graph_2,ori_graph_2,cat_1,ori_cat_1,cat_2,ori_cat_2,ori_cple,type_cstr_1,cstr_1,ori_cstr_1,type_cstr_2,cstr_2,ori_cstr_2,complexite,ori_complexite,orientation,ori_orientation,semty_1,ori_semty_1,semty_2,ori_semty_2,sous_semty_1,sous_semty_2,ori_sous_semty_1,ori_sous_semty_2,semtyrss_1,semtyrss_2,ori_semtyrss_1,ori_semtyrss_2,rel_sem_n_1,rel_sem_n_2,ori_relsem,def_conc,ori_def_conc,def_abs,ori_def_abs,commentaires,phon_aff_1,phon_aff_2,phon_stem_1,phon_stem_2,similarity,generalization_1,generalization_2,sim_phon_1,sim_phon_2,comparison,variation_type,generalization_1_mod,generalization_2_mod,sim_phon_1_mod,sim_phon_2_mod,labels_1,labels_2,cstr_1_mod,cstr_2_mod,phon_aff_1_mod,phon_aff_2_mod,orientation_mod
r124501,f139808,l200642,fourgon,dimoc,l200645,fourgonnette,dimoc,Nm,dimoc,Nf,dimoc,dimoc,,X,nouveau,suf,Xette,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?t,fu?g??;fu?g??,fu?g?n;fu?g?n,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",X?,Xn,fu?g??,fu?g?n,  f;  u;  ?;  g;  ?;- ?;+ n,l?gitime,X?,Xn,fu?g??,fu?g?n,Nm:,Nf:,X,Xette,,.?t,as2des
r124500,f139808,l200645,fourgonnette,dimoc,l200642,fourgon,dimoc,Nf,dimoc,Nm,dimoc,dimoc,suf,Xette,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.?t,,fu?g?n;fu?g?n,fu?g??;fu?g??,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",Xn,X?,fu?g?n,fu?g??,  f;  u;  ?;  g;  ?;- n;+ ?,l?gitime,Xn,X?,fu?g?n,fu?g??,Nf:,Nm:,Xette,X,.?t,,des2as
r219388,f131450,l185926,effraction,tlfnome,l200961,fractionner,tlfnome,Nf,tlfnome,V,tlfnome,verbaction,pre,?X,nouveau,conv,X,nouveau,accidentel,nouveau,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,e.,,f?aksj??;f?aksj??,f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?ne;f?aksj?n?;f?aksj?na;f?aksj?ne,"[0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058]",X?,Xn,f?aksj??,f?aksj?n,  f;  ?;  a;  k;  s;  j;  ?;- ?;+ n,l?gitime,X?,Xn,f?aksj??,f?aksj?n,Nf:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,?X,X,e.,,indirect
r219459,f131450,l185926,effraction,tlfnome,l200961,fractionner,tlfnome,Nf,tlfnome,V,tlfnome,verbaction,pre,eX,nouveau,conv,X,nouveau,simple,nouveau,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,e.,,f?aksj??;f?aksj??,f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?ne;f?aksj?n?;f?aksj?na;f?aksj?ne,"[0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058]",X?,Xn,f?aksj??,f?aksj?n,  f;  ?;  a;  k;  s;  j;  ?;- ?;+ n,l?gitime,X?,Xn,f?aksj??,f?aksj?n,Nf:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,eX,X,e.,,indirect
r81777,f131450,l200957,fraction,denom,l200958,fractionnaire,denom,Nf,denom,Adj,denom,denom,,X,denom,suf,Xaire,denom,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,f?aksj??;f?aksj??,f?aksj?n;f?aksj?n,"[0.875, 0.875, 0.875, 0.875]",X?,Xn,f?aksj??,f?aksj?n,  f;  ?;  a;  k;  s;  j;  ?;- ?;+ n,l?gitime,X?,Xn,f?aksj??,f?aksj?n,Nf:,Adj:,X,Xaire,,.??,as2des
r187905,f131450,l200957,fraction,dimoc,l200958,fractionnaire,dimoc,Nf,dimoc,Adj,dimoc,dimoc,,X,nouveau,suf,Xaire,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,f?aksj??;f?aksj??,f?aksj?n;f?aksj?n,"[0.875, 0.875, 0.875, 0.875]",X?,Xn,f?aksj??,f?aksj?n,  f;  ?;  a;  k;  s;  j;  ?;- ?;+ n,l?gitime,X?,Xn,f?aksj??,f?aksj?n,Nf:,Adj:,X,Xaire,,.??,as2des
r86325,f131450,l200957,fraction,denom,l200959,fractionnel,denom,Nf,denom,Adj,denom,denom,,X,denom,suf,Xel,denom,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?l,f?aksj??;f?aksj??,f?aksj?n?l;f?aksj?n?l;f?aksj?n?l;f?aksj?n?l,"[0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778]",X?,Xn?l,f?aksj??,f?aksj?n?l,  f;  ?;  a;  k;  s;  j;  ?;- ?;+ n;+ ?;+ l,? neutraliser,X?,Xn,f?aksj??,f?aksj?n,Nf:,Adj:,X,Xel,,.?l,as2des
r81776,f131450,l200958,fractionnaire,denom,l200957,fraction,denom,Adj,denom,Nf,denom,denom,suf,Xaire,denom,,X,denom,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.??,,f?aksj?n;f?aksj?n,f?aksj??;f?aksj??,"[0.875, 0.875, 0.875, 0.875]",Xn,X?,f?aksj?n,f?aksj??,  f;  ?;  a;  k;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,f?aksj?n,f?aksj??,Adj:,Nf:,Xaire,X,.??,,des2as
r187904,f131450,l200958,fractionnaire,dimoc,l200957,fraction,dimoc,Adj,dimoc,Nf,dimoc,dimoc,suf,Xaire,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.??,,f?aksj?n;f?aksj?n,f?aksj??;f?aksj??,"[0.875, 0.875, 0.875, 0.875]",Xn,X?,f?aksj?n,f?aksj??,  f;  ?;  a;  k;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,f?aksj?n,f?aksj??,Adj:,Nf:,Xaire,X,.??,,des2as
r86324,f131450,l200959,fractionnel,denom,l200957,fraction,denom,Adj,denom,Nf,denom,denom,suf,Xel,denom,,X,denom,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.?l,,f?aksj?n?l;f?aksj?n?l;f?aksj?n?l;f?aksj?n?l,f?aksj??;f?aksj??,"[0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778, 0.7777777777777778]",Xn?l,X?,f?aksj?n?l,f?aksj??,  f;  ?;  a;  k;  s;  j;  ?;+ ?;- n;- ?;- l,? neutraliser,Xn,X?,f?aksj?n,f?aksj??,Adj:,Nf:,Xel,X,.?l,,des2as
