rid,fid,lid_1,graph_1,ori_graph_1,lid_2,graph_2,ori_graph_2,cat_1,ori_cat_1,cat_2,ori_cat_2,ori_cple,type_cstr_1,cstr_1,ori_cstr_1,type_cstr_2,cstr_2,ori_cstr_2,complexite,ori_complexite,orientation,ori_orientation,semty_1,ori_semty_1,semty_2,ori_semty_2,sous_semty_1,sous_semty_2,ori_sous_semty_1,ori_sous_semty_2,semtyrss_1,semtyrss_2,ori_semtyrss_1,ori_semtyrss_2,rel_sem_n_1,rel_sem_n_2,ori_relsem,def_conc,ori_def_conc,def_abs,ori_def_abs,commentaires,phon_aff_1,phon_aff_2,phon_stem_1,phon_stem_2,similarity,generalization_1,generalization_2,sim_phon_1,sim_phon_2,comparison,variation_type,generalization_1_mod,generalization_2_mod,sim_phon_1_mod,sim_phon_2_mod,labels_1,labels_2,cstr_1_mod,cstr_2_mod,phon_aff_1_mod,phon_aff_2_mod,orientation_mod
r6116,f76349,l89920,abandonneur,tlfnome,l89919,abandonner,tlfnome,Nm,tlfnome,V,tlfnome,derif,suf,Xeur,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.??,,ab??d?n;ab??d?n,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",X??Y,X’Y,ab??d?n,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xeur,X,.??,,des2as
r6120,f76349,l89921,abandonneuse,tlfnome,l89919,abandonner,tlfnome,Nf,tlfnome,V,tlfnome,derif,suf,Xeuse,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.?z,,ab??d?n;ab??d?n,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",X??Y,X’Y,ab??d?n,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nf:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xeuse,X,.?z,,des2as
r6108,f76349,l89916,abandonnateur,tlfnome,l89919,abandonner,tlfnome,Nm,tlfnome,V,tlfnome,derif,suf,Xeur,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.??,,ab??d?nat;ab??d?nat,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.625, 0.625, 0.625, 0.625, 0.75, 0.75, 0.625, 0.625]",X??Yat,X’Y,ab??d?nat,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n;- a;- t,? neutraliser,Xat,X,ab??d?nat,ab??d?n,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xeur,X,.??,,des2as
r187384,f76349,l89914,abandonnataire,dimoc,l89919,abandonner,dimoc,Nf,nouveau,V,dimoc,dimoc,suf,Xataire,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.at??,,ab’don;ab’don,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",XoY,X?Y,ab’don,ab’d?n,  a;  b;  ’;  d;- o;+ ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nf:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xataire,X,.at??,,des2as
r93305,f76349,l89912,abandon,denom,l89922,abandonnique,denom,Nm,denom,Adj,denom,denom,,X,denom,suf,Xique,denom,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.ik,ab’d??;ab’d??,ab’d?n;ab’d?n,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",X?,Xn,ab’d??,ab’d?n,  a;  b;  ’;  d;  ?;- ?;+ n,l?gitime,X?,Xn,ab??d??,ab??d?n,Nm:,Adj:,X,Xique,,.ik,as2des
r93304,f76349,l89922,abandonnique,denom,l89912,abandon,denom,Adj,denom,Nm,denom,denom,suf,Xique,denom,,X,denom,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ik,,ab’d?n;ab’d?n,ab’d??;ab’d??,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",Xn,X?,ab’d?n,ab’d??,  a;  b;  ’;  d;  ?;- n;+ ?,l?gitime,Xn,X?,ab??d?n,ab??d??,Adj:,Nm:,Xique,X,.ik,,des2as
r6109,f76349,l89919,abandonner,tlfnome,l89916,abandonnateur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,ab??d?nat;ab??d?nat,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.625, 0.625, 0.75, 0.625, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.625, 0.625, 0.75, 0.625]",X’Y,X??Yt,ab’d?na,ab??d?nat,  a;  b;- ’;+ ?;+ ?;  d;  ?;  n;  a;+ t,? neutraliser,X,Xat,ab??d?n,ab??d?nat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r6105,f76349,l89920,abandonneur,tlfnome,l89918,abandonnement,tlfnome,Nm,tlfnome,Nm,tlfnome,morphonette,suf,Xeur,nouveau,suf,Xment,nouveau,simple,demonette1,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,.??,.m’,ab??d?n;ab??d?n,ab’d?n;ab’d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",X??Y,X’Y,ab??d?n,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nm:,Nm:,Xeur,Xment,.??,.m??,indirect
r6107,f76349,l89921,abandonneuse,tlfnome,l89918,abandonnement,tlfnome,Nf,tlfnome,Nm,tlfnome,morphonette,suf,Xeuse,nouveau,suf,Xment,nouveau,simple,demonette1,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,.?z,.m’,ab??d?n;ab??d?n,ab’d?n;ab’d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",X??Y,X’Y,ab??d?n,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nf:,Nm:,Xeuse,Xment,.?z,.m??,indirect
r6117,f76349,l89919,abandonner,tlfnome,l89920,abandonneur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,ab??d?n;ab??d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",X’Y,X??Y,ab’d?n,ab??d?n,  a;  b;- ’;+ ?;+ ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r6104,f76349,l89918,abandonnement,tlfnome,l89920,abandonneur,tlfnome,Nm,tlfnome,Nm,tlfnome,morphonette,suf,Xment,nouveau,suf,Xeur,nouveau,simple,demonette1,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,.m’,.??,ab’d?n;ab’d?n,ab??d?n;ab??d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",X’Y,X??Y,ab’d?n,ab??d?n,  a;  b;- ’;+ ?;+ ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nm:,Nm:,Xment,Xeur,.m??,.??,indirect
r6121,f76349,l89919,abandonner,tlfnome,l89921,abandonneuse,tlfnome,V,tlfnome,Nf,tlfnome,derif,,X,nouveau,suf,Xeuse,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?z,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,ab??d?n;ab??d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",X’Y,X??Y,ab’d?n,ab??d?n,  a;  b;- ’;+ ?;+ ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xeuse,,.?z,as2des
r6106,f76349,l89918,abandonnement,tlfnome,l89921,abandonneuse,tlfnome,Nm,tlfnome,Nf,tlfnome,morphonette,suf,Xment,nouveau,suf,Xeuse,nouveau,simple,demonette1,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,.m’,.?z,ab’d?n;ab’d?n,ab??d?n;ab??d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",X’Y,X??Y,ab’d?n,ab??d?n,  a;  b;- ’;+ ?;+ ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nm:,Nf:,Xment,Xeuse,.m??,.?z,indirect
r187385,f76349,l89919,abandonner,dimoc,l89914,abandonnataire,dimoc,V,dimoc,Nf,nouveau,dimoc,,X,nouveau,suf,Xataire,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.at??,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,ab’don;ab’don,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",X?Y,XoY,ab’d?n,ab’don,  a;  b;  ’;  d;- ?;+ o;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xataire,,.at??,as2des
r58014,f204002,l309226,rabattement,tlfnome,l309230,rabattre,tlfnome,Nm,tlfnome,V,tlfnome,derif,suf,Xment,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.m’,,?abat?;?abat?,?abat;?abat;?aba;?abat;?aba;?abat;?abat;?abat;?abat;?abat;?abati;?abaty,"[0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8, 0.8, 0.9090909090909091, 0.9090909090909091, 0.8, 0.8, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",X?,X,?abat?,?abat,  ?;  a;  b;  a;  t;- ?,? neutraliser,X,X,?abat,?abat,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xment,X,.m??,,des2as
r58016,f204002,l309226,rabattement,tlfnome,l309230,rabattre,tlfnome,Nm,tlfnome,V,tlfnome,verbaction,suf,Xment,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.m’,,?abat?;?abat?,?abat;?abat;?aba;?abat;?aba;?abat;?abat;?abat;?abat;?abat;?abati;?abaty,"[0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8, 0.8, 0.9090909090909091, 0.9090909090909091, 0.8, 0.8, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",X?,X,?abat?,?abat,  ?;  a;  b;  a;  t;- ?,? neutraliser,X,X,?abat,?abat,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xment,X,.m??,,des2as
r6247,f76658,l90445,aboyeur,tlfnome,l90295,aboiement,tlfnome,Nm,tlfnome,Nm,tlfnome,morphonette,suf,Xeur,nouveau,suf,Xment,nouveau,simple,demonette1,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,.??,.m’,abwaj;abwaj,abwa;abwa,"[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",Xj,X,abwaj,abwa,  a;  b;  w;  a;- j,l?gitime,Xj,X,abwaj,abwa,Nm:,Nm:,Xeur,Xment,.??,.m??,indirect
r6246,f76658,l90295,aboiement,tlfnome,l90445,aboyeur,tlfnome,Nm,tlfnome,Nm,tlfnome,morphonette,suf,Xment,nouveau,suf,Xeur,nouveau,simple,demonette1,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,.m’,.??,abwa;abwa,abwaj;abwaj,"[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",X,Xj,abwa,abwaj,  a;  b;  w;  a;+ j,l?gitime,X,Xj,abwa,abwaj,Nm:,Nm:,Xment,Xeur,.m??,.??,indirect
r102599,f98094,l127722,bord,derif,l90373,aborder,derif,Nm,derif,V,derif,derif,,X,nouveau,pre,aX,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,a.,b??;b??,b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??de;b??d?;b??da;b??de,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",X,Xd,b??,b??d,  b;  ?;  ?;+ d,l?gitime,X,Xd,b??,b??d,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,X,aX,,a.,as2des
r113825,f98094,l127722,bord,derif,l90373,aborder,derif,Nm,derif,V,derif,derif,,X,nouveau,pre,aX,nouveau,simple,nouveau,as2des,derif,,,,,,,,,,,,,,,,,,,,,,a.,b??;b??,b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??de;b??d?;b??da;b??de,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",X,Xd,b??,b??d,  b;  ?;  ?;+ d,l?gitime,X,Xd,b??,b??d,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,X,aX,,a.,as2des
r104030,f98094,l226656,inabordable,derif,l90370,abordable,derif,Adj,derif,Adj,derif,derif,pre,inX,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,i.,,nab??dabl;nab??dabl,ab??dabl;ab??dabl,"[0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353]",nX,X,nab??dabl,ab??dabl,- n;  a;  b;  ?;  ?;  d;  a;  b;  l,? neutraliser,X,X,ab??dabl,ab??dabl,Adj:,Adj:,inX,X,in.,,des2as
r114576,f98094,l226656,inabordable,derif,l90370,abordable,derif,Adj,derif,Adj,derif,derif,pre,inX,nouveau,,X,nouveau,simple,nouveau,des2as,derif,,,,,,,,,,,,,,,,,,,,,i.,,nab??dabl;nab??dabl,ab??dabl;ab??dabl,"[0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353]",nX,X,nab??dabl,ab??dabl,- n;  a;  b;  ?;  ?;  d;  a;  b;  l,? neutraliser,X,X,ab??dabl,ab??dabl,Adj:,Adj:,inX,X,in.,,des2as
r102598,f98094,l90373,aborder,derif,l127722,bord,derif,V,derif,Nm,derif,derif,pre,aX,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,a.,,b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??de;b??d?;b??da;b??de,b??;b??,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.75, 0.75, 0.75, 0.75, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.75, 0.75, 0.75, 0.75]",Xd,X,b??d,b??,  b;  ?;  ?;- d,l?gitime,Xd,X,b??d,b??,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,aX,X,a.,,des2as
r113824,f98094,l90373,aborder,derif,l127722,bord,derif,V,derif,Nm,derif,derif,pre,aX,nouveau,,X,nouveau,simple,nouveau,des2as,derif,,,,,,,,,,,,,,,,,,,,,a.,,b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??de;b??d?;b??da;b??de,b??;b??,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.75, 0.75, 0.75, 0.75, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.75, 0.75, 0.75, 0.75]",Xd,X,b??d,b??,  b;  ?;  ?;- d,l?gitime,Xd,X,b??d,b??,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,aX,X,a.,,des2as
r109760,f98094,l179568,d?border,derif,l127722,bord,derif,V,derif,Nm,derif,derif,pre,d?1X,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,de.,,b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??d;b??de;b??d?;b??da;b??de,b??;b??,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.75, 0.75, 0.75, 0.75, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.75, 0.75, 0.75, 0.75]",Xd,X,b??d,b??,  b;  ?;  ?;- d,l?gitime,Xd,X,b??d,b??,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,d?1X,X,de.,,des2as
r182066,f98094,l127793,bordi?re,dimoc,l127722,bord,dimoc,Nf,dimoc,Nm,dimoc,dimoc,suf,Xi?re,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.j??,,b??d;b??d,b??;b??,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]",Xd,X,b??d,b??,  b;  ?;  ?;- d,l?gitime,Xd,X,b??d,b??,Nf:,Nm:,Xi?re,X,.j??,,des2as
r182402,f98094,l127751,bordeli?re,dimoc,l127722,bord,dimoc,Nf,dimoc,Nm,dimoc,dimoc,suf,Xi?re,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.j??,,b??d?l;b??d?l,b??;b??,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",Xd?l,X,b??d?l,b??,  b;  ?;  ?;- d;- ?;- l,l?gitime,Xd?l,X,b??d?l,b??,Nf:,Nm:,Xi?re,X,.j??,,des2as
r58100,f99326,l309343,raboutissage,tlfnome,l309338,rabouter,tlfnome,Nm,verbaction,V,tlfnome,verbaction,suf,Xage,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.a?,,?abutis;?abutis,?abut;?abut;?abut;?abut;?abut;?abut;?abut;?abut;?abute;?abut?;?abuta;?abute,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",Xis,X,?abutis,?abut,  ?;  a;  b;  u;  t;- i;- s,l?gitime,Xis,X,?abutis,?abut,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xage,X,.a?,,des2as
